연월,지역,성별,연령,count
2017-01,전북,남성,20대,11754
2017-01,전북,남성,30대,80642
2017-01,전북,남성,40대,151857
2017-01,전북,남성,50대,174078
2017-01,전북,남성,60대,116847
2017-01,전북,남성,70대,44274
2017-01,전북,남성,80대,7444
2017-01,전북,남성,90대 이상,726
2017-01,전북,여성,10대 이하,240
2017-01,전북,여성,20대,6079
2017-01,전북,여성,30대,32290
2017-01,전북,여성,40대,52888
2017-01,전북,여성,50대,59953
2017-01,전북,여성,60대,30382
2017-01,전북,여성,70대,8966
2017-01,전북,여성,80대,3809
2017-01,전북,여성,90대 이상,860
2017-01,전남,남성,10대 이하,446
2017-01,전남,남성,20대,11683
2017-01,전남,남성,30대,81779
2017-01,전남,남성,40대,152238
2017-01,전남,남성,50대,188380
2017-01,전남,남성,60대,123978
2017-01,전남,남성,70대,46211
2017-01,전남,남성,80대,6882
2017-01,전남,남성,90대 이상,696
2017-01,전남,여성,10대 이하,261
2017-01,전남,여성,20대,5607
2017-01,전남,여성,30대,30656
2017-01,전남,여성,40대,48203
2017-01,전남,여성,50대,57946
2017-01,전남,여성,60대,28287
2017-01,전남,여성,70대,8832
2017-01,전남,여성,80대,3758
2017-01,전남,여성,90대 이상,738
2017-01,경북,남성,10대 이하,333
2017-01,경북,남성,20대,17703
2017-01,경북,남성,30대,131444
2017-01,경북,남성,40대,233976
2017-01,경북,남성,50대,294881
2017-01,경북,남성,60대,207268
2017-01,경북,남성,70대,70736
2017-01,경북,남성,80대,10417
2017-01,경북,남성,90대 이상,795
2017-01,경북,여성,10대 이하,189
2017-01,경북,여성,20대,8134
2017-01,경북,여성,30대,46746
2017-01,경북,여성,40대,72653
2017-01,경북,여성,50대,89900
2017-01,경북,여성,60대,45784
2017-01,경북,여성,70대,10835
2017-01,경북,여성,80대,3531
2017-01,경북,여성,90대 이상,618
2017-01,경남,남성,10대 이하,792
2017-01,경남,남성,20대,21287
2017-01,경남,남성,30대,169496
2017-01,경남,남성,40대,290826
2017-01,경남,남성,50대,327472
2017-01,경남,남성,60대,203090
2017-01,경남,남성,70대,60323
2017-01,경남,남성,80대,8455
2017-01,경남,남성,90대 이상,678
2017-01,경남,여성,10대 이하,409
2017-01,경남,여성,20대,9563
2017-01,경남,여성,30대,60684
2017-01,경남,여성,40대,96302
2017-01,경남,여성,50대,104737
2017-01,경남,여성,60대,47816
2017-01,경남,여성,70대,10682
2017-01,경남,여성,80대,3675
2017-01,경남,여성,90대 이상,654
2017-01,제주,남성,10대 이하,190
2017-01,제주,남성,20대,4303
2017-01,제주,남성,30대,31124
2017-01,제주,남성,40대,60233
2017-01,제주,남성,50대,61913
2017-01,제주,남성,60대,36816
2017-01,제주,남성,70대,15522
2017-01,제주,남성,80대,2677
2017-01,제주,남성,90대 이상,146
2017-01,제주,여성,10대 이하,101
2017-01,제주,여성,20대,2616
2017-01,제주,여성,30대,15406
2017-01,제주,여성,40대,25288
2017-01,제주,여성,50대,26449
2017-01,제주,여성,60대,12636
2017-01,제주,여성,70대,3130
2017-01,제주,여성,80대,843
2017-01,제주,여성,90대 이상,180
2017-02,합계,남성,10대 이하,9696
2017-02,합계,남성,20대,298341
2017-02,합계,남성,30대,2360008
2017-02,합계,남성,40대,3903015
2017-02,합계,남성,50대,4199145
2017-02,합계,남성,60대,2580442
2017-02,합계,남성,70대,849852
2017-02,합계,남성,80대,130664
2017-02,합계,남성,90대 이상,11576
2017-02,합계,여성,10대 이하,5250
2017-02,합계,여성,20대,140273
2017-02,합계,여성,30대,856555
2017-02,합계,여성,40대,1335982
2017-02,합계,여성,50대,1419558
2017-02,합계,여성,60대,683473
2017-02,합계,여성,70대,173276
2017-02,합계,여성,80대,49934
2017-02,합계,여성,90대 이상,9782
2017-02,서울,남성,10대 이하,1325
2017-02,서울,남성,20대,32257
2017-02,서울,남성,30대,352453
2017-02,서울,남성,40대,535797
2017-02,서울,남성,50대,533187
2017-02,서울,남성,60대,373838
2017-02,서울,남성,70대,135658
2017-02,서울,남성,80대,20829
2017-02,서울,남성,90대 이상,2514
2017-02,서울,여성,10대 이하,726
2017-02,서울,여성,20대,15622
2017-02,서울,여성,30대,122308
2017-02,서울,여성,40대,184228
2017-02,서울,여성,50대,183098
2017-02,서울,여성,60대,106219
2017-02,서울,여성,70대,30314
2017-02,서울,여성,80대,6727
2017-02,서울,여성,90대 이상,1551
2017-02,부산,남성,10대 이하,534
2017-02,부산,남성,20대,17164
2017-02,부산,남성,30대,138270
2017-02,부산,남성,40대,207317
2017-02,부산,남성,50대,233617
2017-02,부산,남성,60대,168213
2017-02,부산,남성,70대,53092
2017-02,부산,남성,80대,7293
2017-02,부산,남성,90대 이상,673
2017-02,부산,여성,10대 이하,304
2017-02,부산,여성,20대,7532
2017-02,부산,여성,30대,48340
2017-02,부산,여성,40대,73114
2017-02,부산,여성,50대,81927
2017-02,부산,여성,60대,43709
2017-02,부산,여성,70대,10302
2017-02,부산,여성,80대,2542
2017-02,부산,여성,90대 이상,551
2017-02,대구,남성,10대 이하,508
2017-02,대구,남성,20대,15632
2017-02,대구,남성,30대,112782
2017-02,대구,남성,40대,200952
2017-02,대구,남성,50대,227828
2017-02,대구,남성,60대,139723
2017-02,대구,남성,70대,45074
2017-02,대구,남성,80대,6939
2017-02,대구,남성,90대 이상,538
2017-02,대구,여성,10대 이하,265
2017-02,대구,여성,20대,6725
2017-02,대구,여성,30대,41359
2017-02,대구,여성,40대,70489
2017-02,대구,여성,50대,78287
2017-02,대구,여성,60대,37831
2017-02,대구,여성,70대,9196
2017-02,대구,여성,80대,2425
2017-02,대구,여성,90대 이상,439
2017-02,인천,남성,10대 이하,543
2017-02,인천,남성,20대,19432
2017-02,인천,남성,30대,141043
2017-02,인천,남성,40대,214119
2017-02,인천,남성,50대,226405
2017-02,인천,남성,60대,122817
2017-02,인천,남성,70대,34427
2017-02,인천,남성,80대,4531
2017-02,인천,남성,90대 이상,428
2017-02,인천,여성,10대 이하,279
2017-02,인천,여성,20대,8631
2017-02,인천,여성,30대,50493
2017-02,인천,여성,40대,75168
2017-02,인천,여성,50대,79178
2017-02,인천,여성,60대,33895
2017-02,인천,여성,70대,7198
2017-02,인천,여성,80대,1857
2017-02,인천,여성,90대 이상,369
2017-02,광주,남성,10대 이하,259
2017-02,광주,남성,20대,9677
2017-02,광주,남성,30대,71010
2017-02,광주,남성,40대,119164
2017-02,광주,남성,50대,119757
2017-02,광주,남성,60대,63800
2017-02,광주,남성,70대,21827
2017-02,광주,남성,80대,3201
2017-02,광주,남성,90대 이상,306
2017-02,광주,여성,10대 이하,139
2017-02,광주,여성,20대,5419
2017-02,광주,여성,30대,30917
2017-02,광주,여성,40대,45510
2017-02,광주,여성,50대,43649
2017-02,광주,여성,60대,18797
2017-02,광주,여성,70대,4880
2017-02,광주,여성,80대,1603
2017-02,광주,여성,90대 이상,420
2017-02,대전,남성,10대 이하,582
2017-02,대전,남성,20대,10236
2017-02,대전,남성,30대,74248
2017-02,대전,남성,40대,120897
2017-02,대전,남성,50대,128562
2017-02,대전,남성,60대,75849
2017-02,대전,남성,70대,22394
2017-02,대전,남성,80대,3482
2017-02,대전,남성,90대 이상,329
2017-02,대전,여성,10대 이하,311
2017-02,대전,여성,20대,4988
2017-02,대전,여성,30대,29858
2017-02,대전,여성,40대,45404
2017-02,대전,여성,50대,46211
2017-02,대전,여성,60대,20509
2017-02,대전,여성,70대,5016
2017-02,대전,여성,80대,1754
2017-02,대전,여성,90대 이상,380
2017-02,울산,남성,10대 이하,315
2017-02,울산,남성,20대,8236
2017-02,울산,남성,30대,64008
2017-02,울산,남성,40대,101045
2017-02,울산,남성,50대,129705
2017-02,울산,남성,60대,68829
2017-02,울산,남성,70대,16309
2017-02,울산,남성,80대,1733
2017-02,울산,남성,90대 이상,137
2017-02,울산,여성,10대 이하,143
2017-02,울산,여성,20대,3407
2017-02,울산,여성,30대,20185
2017-02,울산,여성,40대,31469
2017-02,울산,여성,50대,32320
2017-02,울산,여성,60대,14463
2017-02,울산,여성,70대,2878
2017-02,울산,여성,80대,824
2017-02,울산,여성,90대 이상,181
2017-02,세종,남성,10대 이하,53
2017-02,세종,남성,20대,1392
2017-02,세종,남성,30대,16677
2017-02,세종,남성,40대,27027
2017-02,세종,남성,50대,18922
2017-02,세종,남성,60대,10790
2017-02,세종,남성,70대,3077
2017-02,세종,남성,80대,507
2017-02,세종,남성,90대 이상,42
2017-02,세종,여성,10대 이하,32
2017-02,세종,여성,20대,904
2017-02,세종,여성,30대,7210
2017-02,세종,여성,40대,8777
2017-02,세종,여성,50대,6542
2017-02,세종,여성,60대,2993
2017-02,세종,여성,70대,628
2017-02,세종,여성,80대,244
2017-02,세종,여성,90대 이상,43
2017-02,경기,남성,10대 이하,2513
2017-02,경기,남성,20대,74747
2017-02,경기,남성,30대,622256
2017-02,경기,남성,40대,1034183
2017-02,경기,남성,50대,1018034
2017-02,경기,남성,60대,535479
2017-02,경기,남성,70대,166262
2017-02,경기,남성,80대,27759
2017-02,경기,남성,90대 이상,2160
2017-02,경기,여성,10대 이하,1308
2017-02,경기,여성,20대,35364
2017-02,경기,여성,30대,220349
2017-02,경기,여성,40대,354277
2017-02,경기,여성,50대,354872
2017-02,경기,여성,60대,156398
2017-02,경기,여성,70대,40272
2017-02,경기,여성,80대,10105
2017-02,경기,여성,90대 이상,1804
2017-02,강원,남성,10대 이하,231
2017-02,강원,남성,20대,11416
2017-02,강원,남성,30대,66919
2017-02,강원,남성,40대,125083
2017-02,강원,남성,50대,150537
2017-02,강원,남성,60대,102911
2017-02,강원,남성,70대,39068
2017-02,강원,남성,80대,6543
2017-02,강원,남성,90대 이상,497
2017-02,강원,여성,10대 이하,127
2017-02,강원,여성,20대,4814
2017-02,강원,여성,30대,27005
2017-02,강원,여성,40대,45526
2017-02,강원,여성,50대,53765
2017-02,강원,여성,60대,27858
2017-02,강원,여성,70대,7047
2017-02,강원,여성,80대,1860
2017-02,강원,여성,90대 이상,296
2017-02,충북,남성,10대 이하,357
2017-02,충북,남성,20대,12450
2017-02,충북,남성,30대,80096
2017-02,충북,남성,40대,136079
2017-02,충북,남성,50대,159504
2017-02,충북,남성,60대,101503
2017-02,충북,남성,70대,32347
2017-02,충북,남성,80대,4946
2017-02,충북,남성,90대 이상,389
2017-02,충북,여성,10대 이하,214
2017-02,충북,여성,20대,5880
2017-02,충북,여성,30대,30543
2017-02,충북,여성,40대,46098
2017-02,충북,여성,50대,52977
2017-02,충북,여성,60대,24686
2017-02,충북,여성,70대,5777
2017-02,충북,여성,80대,1896
2017-02,충북,여성,90대 이상,321
2017-02,충남,남성,10대 이하,298
2017-02,충남,남성,20대,17090
2017-02,충남,남성,30대,122713
2017-02,충남,남성,40대,190944
2017-02,충남,남성,50대,204434
2017-02,충남,남성,60대,128952
2017-02,충남,남성,70대,44447
2017-02,충남,남성,80대,7464
2017-02,충남,남성,90대 이상,553
2017-02,충남,여성,10대 이하,192
2017-02,충남,여성,20대,8007
2017-02,충남,여성,30대,40892
2017-02,충남,여성,40대,59373
2017-02,충남,여성,50대,66733
2017-02,충남,여성,60대,31419
2017-02,충남,여성,70대,7713
2017-02,충남,여성,80대,2693
2017-02,충남,여성,90대 이상,429
2017-02,전북,남성,10대 이하,424
2017-02,전북,남성,20대,12030
2017-02,전북,남성,30대,81091
2017-02,전북,남성,40대,151922
2017-02,전북,남성,50대,174302
2017-02,전북,남성,60대,116796
2017-02,전북,남성,70대,44058
2017-02,전북,남성,80대,7370
2017-02,전북,남성,90대 이상,715
2017-02,전북,여성,10대 이하,238
2017-02,전북,여성,20대,6269
2017-02,전북,여성,30대,32553
2017-02,전북,여성,40대,53102
2017-02,전북,여성,50대,60070
2017-02,전북,여성,60대,30290
2017-02,전북,여성,70대,8891
2017-02,전북,여성,80대,3755
2017-02,전북,여성,90대 이상,849
2017-02,전남,남성,10대 이하,444
2017-02,전남,남성,20대,11982
2017-02,전남,남성,30대,82287
2017-02,전남,남성,40대,152546
2017-02,전남,남성,50대,188758
2017-02,전남,남성,60대,123961
2017-02,전남,남성,70대,45996
2017-02,전남,남성,80대,6786
2017-02,전남,남성,90대 이상,687
2017-02,전남,여성,10대 이하,267
2017-02,전남,여성,20대,5761
2017-02,전남,여성,30대,30881
2017-02,전남,여성,40대,48381
2017-02,전남,여성,50대,58159
2017-02,전남,여성,60대,28234
2017-02,전남,여성,70대,8758
2017-02,전남,여성,80대,3706
2017-02,전남,여성,90대 이상,728
2017-02,경북,남성,10대 이하,326
2017-02,경북,남성,20대,18278
2017-02,경북,남성,30대,132346
2017-02,경북,남성,40대,234221
2017-02,경북,남성,50대,295500
2017-02,경북,남성,60대,207200
2017-02,경북,남성,70대,70423
2017-02,경북,남성,80대,10279
2017-02,경북,남성,90대 이상,793
2017-02,경북,여성,10대 이하,190
2017-02,경북,여성,20대,8371
2017-02,경북,여성,30대,47012
2017-02,경북,여성,40대,73095
2017-02,경북,여성,50대,90242
2017-02,경북,여성,60대,45822
2017-02,경북,여성,70대,10678
2017-02,경북,여성,80대,3499
2017-02,경북,여성,90대 이상,609
2017-02,경남,남성,10대 이하,792
2017-02,경남,남성,20대,21855
2017-02,경남,남성,30대,170404
2017-02,경남,남성,40대,291274
2017-02,경남,남성,50대,328092
2017-02,경남,남성,60대,202972
2017-02,경남,남성,70대,59963
2017-02,경남,남성,80대,8338
2017-02,경남,남성,90대 이상,668
2017-02,경남,여성,10대 이하,415
2017-02,경남,여성,20대,9868
2017-02,경남,여성,30대,61146
2017-02,경남,여성,40대,96550
2017-02,경남,여성,50대,104987
2017-02,경남,여성,60대,47735
2017-02,경남,여성,70대,10607
2017-02,경남,여성,80대,3605
2017-02,경남,여성,90대 이상,637
2017-02,제주,남성,10대 이하,192
2017-02,제주,남성,20대,4467
2017-02,제주,남성,30대,31405
2017-02,제주,남성,40대,60445
2017-02,제주,남성,50대,62001
2017-02,제주,남성,60대,36809
2017-02,제주,남성,70대,15430
2017-02,제주,남성,80대,2664
2017-02,제주,남성,90대 이상,147
2017-02,제주,여성,10대 이하,100
2017-02,제주,여성,20대,2711
2017-02,제주,여성,30대,15504
2017-02,제주,여성,40대,25421
2017-02,제주,여성,50대,26541
2017-02,제주,여성,60대,12615
2017-02,제주,여성,70대,3121
2017-02,제주,여성,80대,839
2017-02,제주,여성,90대 이상,175
2017-03,합계,남성,10대 이하,9705
2017-03,합계,남성,20대,309706
2017-03,합계,남성,30대,2380084
2017-03,합계,남성,40대,3909648
2017-03,합계,남성,50대,4203499
2017-03,합계,남성,60대,2576695
2017-03,합계,남성,70대,845164
2017-03,합계,남성,80대,129200
2017-03,합계,남성,90대 이상,11425
2017-03,합계,여성,10대 이하,5258
2017-03,합계,여성,20대,145296
2017-03,합계,여성,30대,864344
2017-03,합계,여성,40대,1341383
2017-03,합계,여성,50대,1422910
2017-03,합계,여성,60대,682507
2017-03,합계,여성,70대,172242
2017-03,합계,여성,80대,49310
2017-03,합계,여성,90대 이상,9683
2017-03,서울,남성,10대 이하,1330
2017-03,서울,남성,20대,33558
2017-03,서울,남성,30대,354922
2017-03,서울,남성,40대,535764
2017-03,서울,남성,50대,532889
2017-03,서울,남성,60대,372586
2017-03,서울,남성,70대,134778
2017-03,서울,남성,80대,20629
2017-03,서울,남성,90대 이상,2481
2017-03,서울,여성,10대 이하,724
2017-03,서울,여성,20대,16143
2017-03,서울,여성,30대,123314
2017-03,서울,여성,40대,184765
2017-03,서울,여성,50대,183180
2017-03,서울,여성,60대,105923
2017-03,서울,여성,70대,30104
2017-03,서울,여성,80대,6653
2017-03,서울,여성,90대 이상,1564
2017-03,부산,남성,10대 이하,533
2017-03,부산,남성,20대,17822
2017-03,부산,남성,30대,139244
2017-03,부산,남성,40대,207729
2017-03,부산,남성,50대,233948
2017-03,부산,남성,60대,167821
2017-03,부산,남성,70대,52848
2017-03,부산,남성,80대,7193
2017-03,부산,남성,90대 이상,666
2017-03,부산,여성,10대 이하,306
2017-03,부산,여성,20대,7798
2017-03,부산,여성,30대,48636
2017-03,부산,여성,40대,73369
2017-03,부산,여성,50대,82018
2017-03,부산,여성,60대,43609
2017-03,부산,여성,70대,10227
2017-03,부산,여성,80대,2520
2017-03,부산,여성,90대 이상,543
2017-03,대구,남성,10대 이하,501
2017-03,대구,남성,20대,16170
2017-03,대구,남성,30대,113816
2017-03,대구,남성,40대,201402
2017-03,대구,남성,50대,227900
2017-03,대구,남성,60대,139328
2017-03,대구,남성,70대,44760
2017-03,대구,남성,80대,6848
2017-03,대구,남성,90대 이상,529
2017-03,대구,여성,10대 이하,267
2017-03,대구,여성,20대,6970
2017-03,대구,여성,30대,41804
2017-03,대구,여성,40대,70720
2017-03,대구,여성,50대,78498
2017-03,대구,여성,60대,37708
2017-03,대구,여성,70대,9171
2017-03,대구,여성,80대,2404
2017-03,대구,여성,90대 이상,435
2017-03,인천,남성,10대 이하,541
2017-03,인천,남성,20대,20186
2017-03,인천,남성,30대,142101
2017-03,인천,남성,40대,214225
2017-03,인천,남성,50대,226320
2017-03,인천,남성,60대,122497
2017-03,인천,남성,70대,34163
2017-03,인천,남성,80대,4483
2017-03,인천,남성,90대 이상,425
2017-03,인천,여성,10대 이하,282
2017-03,인천,여성,20대,8957
2017-03,인천,여성,30대,50931
2017-03,인천,여성,40대,75449
2017-03,인천,여성,50대,79422
2017-03,인천,여성,60대,33759
2017-03,인천,여성,70대,7162
2017-03,인천,여성,80대,1858
2017-03,인천,여성,90대 이상,366
2017-03,광주,남성,10대 이하,259
2017-03,광주,남성,20대,10015
2017-03,광주,남성,30대,71547
2017-03,광주,남성,40대,119253
2017-03,광주,남성,50대,119931
2017-03,광주,남성,60대,63646
2017-03,광주,남성,70대,21638
2017-03,광주,남성,80대,3167
2017-03,광주,남성,90대 이상,305
2017-03,광주,여성,10대 이하,139
2017-03,광주,여성,20대,5611
2017-03,광주,여성,30대,31266
2017-03,광주,여성,40대,45739
2017-03,광주,여성,50대,43735
2017-03,광주,여성,60대,18772
2017-03,광주,여성,70대,4880
2017-03,광주,여성,80대,1582
2017-03,광주,여성,90대 이상,414
2017-03,대전,남성,10대 이하,581
2017-03,대전,남성,20대,10634
2017-03,대전,남성,30대,74717
2017-03,대전,남성,40대,121006
2017-03,대전,남성,50대,128543
2017-03,대전,남성,60대,75546
2017-03,대전,남성,70대,22217
2017-03,대전,남성,80대,3441
2017-03,대전,남성,90대 이상,320
2017-03,대전,여성,10대 이하,310
2017-03,대전,여성,20대,5173
2017-03,대전,여성,30대,30109
2017-03,대전,여성,40대,45552
2017-03,대전,여성,50대,46283
2017-03,대전,여성,60대,20470
2017-03,대전,여성,70대,4976
2017-03,대전,여성,80대,1720
2017-03,대전,여성,90대 이상,372
2017-03,울산,남성,10대 이하,314
2017-03,울산,남성,20대,8514
2017-03,울산,남성,30대,64425
2017-03,울산,남성,40대,101290
2017-03,울산,남성,50대,129879
2017-03,울산,남성,60대,68657
2017-03,울산,남성,70대,16189
2017-03,울산,남성,80대,1709
2017-03,울산,남성,90대 이상,136
2017-03,울산,여성,10대 이하,143
2017-03,울산,여성,20대,3522
2017-03,울산,여성,30대,20305
2017-03,울산,여성,40대,31545
2017-03,울산,여성,50대,32372
2017-03,울산,여성,60대,14391
2017-03,울산,여성,70대,2855
2017-03,울산,여성,80대,807
2017-03,울산,여성,90대 이상,180
2017-03,세종,남성,10대 이하,55
2017-03,세종,남성,20대,1434
2017-03,세종,남성,30대,17218
2017-03,세종,남성,40대,27503
2017-03,세종,남성,50대,19194
2017-03,세종,남성,60대,10884
2017-03,세종,남성,70대,3056
2017-03,세종,남성,80대,511
2017-03,세종,남성,90대 이상,42
2017-03,세종,여성,10대 이하,31
2017-03,세종,여성,20대,948
2017-03,세종,여성,30대,7398
2017-03,세종,여성,40대,8904
2017-03,세종,여성,50대,6611
2017-03,세종,여성,60대,3015
2017-03,세종,여성,70대,624
2017-03,세종,여성,80대,242
2017-03,세종,여성,90대 이상,42
2017-03,경기,남성,10대 이하,2522
2017-03,경기,남성,20대,78002
2017-03,경기,남성,30대,628770
2017-03,경기,남성,40대,1035974
2017-03,경기,남성,50대,1018134
2017-03,경기,남성,60대,534766
2017-03,경기,남성,70대,165339
2017-03,경기,남성,80대,27467
2017-03,경기,남성,90대 이상,2142
2017-03,경기,여성,10대 이하,1313
2017-03,경기,여성,20대,36676
2017-03,경기,여성,30대,222605
2017-03,경기,여성,40대,355770
2017-03,경기,여성,50대,355601
2017-03,경기,여성,60대,156201
2017-03,경기,여성,70대,40060
2017-03,경기,여성,80대,10002
2017-03,경기,여성,90대 이상,1777
2017-03,강원,남성,10대 이하,233
2017-03,강원,남성,20대,11821
2017-03,강원,남성,30대,67509
2017-03,강원,남성,40대,125364
2017-03,강원,남성,50대,150718
2017-03,강원,남성,60대,102949
2017-03,강원,남성,70대,38908
2017-03,강원,남성,80대,6478
2017-03,강원,남성,90대 이상,489
2017-03,강원,여성,10대 이하,131
2017-03,강원,여성,20대,4997
2017-03,강원,여성,30대,27275
2017-03,강원,여성,40대,45662
2017-03,강원,여성,50대,53849
2017-03,강원,여성,60대,27886
2017-03,강원,여성,70대,7003
2017-03,강원,여성,80대,1842
2017-03,강원,여성,90대 이상,286
2017-03,충북,남성,10대 이하,357
2017-03,충북,남성,20대,12908
2017-03,충북,남성,30대,80750
2017-03,충북,남성,40대,136324
2017-03,충북,남성,50대,159792
2017-03,충북,남성,60대,101548
2017-03,충북,남성,70대,32220
2017-03,충북,남성,80대,4894
2017-03,충북,남성,90대 이상,378
2017-03,충북,여성,10대 이하,210
2017-03,충북,여성,20대,6092
2017-03,충북,여성,30대,30780
2017-03,충북,여성,40대,46352
2017-03,충북,여성,50대,53138
2017-03,충북,여성,60대,24644
2017-03,충북,여성,70대,5746
2017-03,충북,여성,80대,1851
2017-03,충북,여성,90대 이상,315
2017-03,충남,남성,10대 이하,297
2017-03,충남,남성,20대,17765
2017-03,충남,남성,30대,123947
2017-03,충남,남성,40대,191487
2017-03,충남,남성,50대,205022
2017-03,충남,남성,60대,128983
2017-03,충남,남성,70대,44269
2017-03,충남,남성,80대,7381
2017-03,충남,남성,90대 이상,543
2017-03,충남,여성,10대 이하,191
2017-03,충남,여성,20대,8292
2017-03,충남,여성,30대,41356
2017-03,충남,여성,40대,59674
2017-03,충남,여성,50대,66952
2017-03,충남,여성,60대,31475
2017-03,충남,여성,70대,7680
2017-03,충남,여성,80대,2647
2017-03,충남,여성,90대 이상,427
2017-03,전북,남성,10대 이하,423
2017-03,전북,남성,20대,12441
2017-03,전북,남성,30대,81582
2017-03,전북,남성,40대,152095
2017-03,전북,남성,50대,174638
2017-03,전북,남성,60대,116765
2017-03,전북,남성,70대,43877
2017-03,전북,남성,80대,7279
2017-03,전북,남성,90대 이상,701
2017-03,전북,여성,10대 이하,236
2017-03,전북,여성,20대,6548
2017-03,전북,여성,30대,32789
2017-03,전북,여성,40대,53316
2017-03,전북,여성,50대,60284
2017-03,전북,여성,60대,30261
2017-03,전북,여성,70대,8826
2017-03,전북,여성,80대,3690
2017-03,전북,여성,90대 이상,839
2017-03,전남,남성,10대 이하,447
2017-03,전남,남성,20대,12387
2017-03,전남,남성,30대,82944
2017-03,전남,남성,40대,153002
2017-03,전남,남성,50대,189289
2017-03,전남,남성,60대,123989
2017-03,전남,남성,70대,45803
2017-03,전남,남성,80대,6688
2017-03,전남,남성,90대 이상,681
2017-03,전남,여성,10대 이하,269
2017-03,전남,여성,20대,5985
2017-03,전남,여성,30대,31132
2017-03,전남,여성,40대,48616
2017-03,전남,여성,50대,58413
2017-03,전남,여성,60대,28251
2017-03,전남,여성,70대,8681
2017-03,전남,여성,80대,3661
2017-03,전남,여성,90대 이상,726
2017-03,경북,남성,10대 이하,328
2017-03,경북,남성,20대,18884
2017-03,경북,남성,30대,133082
2017-03,경북,남성,40대,234760
2017-03,경북,남성,50대,296165
2017-03,경북,남성,60대,207149
2017-03,경북,남성,70대,70123
2017-03,경북,남성,80대,10175
2017-03,경북,남성,90대 이상,783
2017-03,경북,여성,10대 이하,192
2017-03,경북,여성,20대,8585
2017-03,경북,여성,30대,47422
2017-03,경북,여성,40대,73461
2017-03,경북,여성,50대,90484
2017-03,경북,여성,60대,45804
2017-03,경북,여성,70대,10620
2017-03,경북,여성,80대,3434
2017-03,경북,여성,90대 이상,598
2017-03,경남,남성,10대 이하,792
2017-03,경남,남성,20대,22562
2017-03,경남,남성,30대,171738
2017-03,경남,남성,40대,291757
2017-03,경남,남성,50대,328848
2017-03,경남,남성,60대,202797
2017-03,경남,남성,70대,59624
2017-03,경남,남성,80대,8215
2017-03,경남,남성,90대 이상,659
2017-03,경남,여성,10대 이하,414
2017-03,경남,여성,20대,10194
2017-03,경남,여성,30대,61579
2017-03,경남,여성,40대,96934
2017-03,경남,여성,50대,105393
2017-03,경남,여성,60대,47686
2017-03,경남,여성,70대,10511
2017-03,경남,여성,80대,3571
2017-03,경남,여성,90대 이상,624
2017-03,제주,남성,10대 이하,192
2017-03,제주,남성,20대,4603
2017-03,제주,남성,30대,31772
2017-03,제주,남성,40대,60713
2017-03,제주,남성,50대,62289
2017-03,제주,남성,60대,36784
2017-03,제주,남성,70대,15352
2017-03,제주,남성,80대,2642
2017-03,제주,남성,90대 이상,145
2017-03,제주,여성,10대 이하,100
2017-03,제주,여성,20대,2805
2017-03,제주,여성,30대,15643
2017-03,제주,여성,40대,25555
2017-03,제주,여성,50대,26677
2017-03,제주,여성,60대,12652
2017-03,제주,여성,70대,3116
2017-03,제주,여성,80대,826
2017-03,제주,여성,90대 이상,175
2017-04,합계,남성,10대 이하,9743
2017-04,합계,남성,20대,320329
2017-04,합계,남성,30대,2398564
2017-04,합계,남성,40대,3918494
2017-04,합계,남성,50대,4208660
2017-04,합계,남성,60대,2574555
2017-04,합계,남성,70대,841690
2017-04,합계,남성,80대,128022
2017-04,합계,남성,90대 이상,11294
2017-04,합계,여성,10대 이하,5279
2017-04,합계,여성,20대,149387
2017-04,합계,여성,30대,871313
2017-04,합계,여성,40대,1346691
2017-04,합계,여성,50대,1426477
2017-04,합계,여성,60대,681934
2017-04,합계,여성,70대,171393
2017-04,합계,여성,80대,48897
2017-04,합계,여성,90대 이상,9554
2017-04,서울,남성,10대 이하,1339
2017-04,서울,남성,20대,34850
2017-04,서울,남성,30대,357671
2017-04,서울,남성,40대,536303
2017-04,서울,남성,50대,532535
2017-04,서울,남성,60대,371610
2017-04,서울,남성,70대,133959
2017-04,서울,남성,80대,20438
2017-04,서울,남성,90대 이상,2470
2017-04,서울,여성,10대 이하,728
2017-04,서울,여성,20대,16647
2017-04,서울,여성,30대,124197
2017-04,서울,여성,40대,185181
2017-04,서울,여성,50대,183305
2017-04,서울,여성,60대,105652
2017-04,서울,여성,70대,29917
2017-04,서울,여성,80대,6599
2017-04,서울,여성,90대 이상,1545
2017-04,부산,남성,10대 이하,539
2017-04,부산,남성,20대,18404
2017-04,부산,남성,30대,140142
2017-04,부산,남성,40대,208103
2017-04,부산,남성,50대,234032
2017-04,부산,남성,60대,167533
2017-04,부산,남성,70대,52563
2017-04,부산,남성,80대,7123
2017-04,부산,남성,90대 이상,667
2017-04,부산,여성,10대 이하,305
2017-04,부산,여성,20대,7977
2017-04,부산,여성,30대,49007
2017-04,부산,여성,40대,73642
2017-04,부산,여성,50대,82089
2017-04,부산,여성,60대,43559
2017-04,부산,여성,70대,10177
2017-04,부산,여성,80대,2496
2017-04,부산,여성,90대 이상,533
2017-04,대구,남성,10대 이하,501
2017-04,대구,남성,20대,16735
2017-04,대구,남성,30대,114796
2017-04,대구,남성,40대,201870
2017-04,대구,남성,50대,228207
2017-04,대구,남성,60대,139015
2017-04,대구,남성,70대,44529
2017-04,대구,남성,80대,6797
